Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
QALD,CogComp+WebQuestions+SimpleQuestions,"0,7546","0,7451","0,7983","0,7546","0,3069","2011,1735",0,"0,0216","0,0207","0,0225","0,0216",3
QALD,LC-QuAD,"0,6794","0,6008","0,5486","0,6794","0,3096","84,1788",0,"0,0232","0,0191","0,0169","0,0232",1
QALD,LC-QuAD+CogComp,"0,8000","0,7786","0,8104","0,8000","0,3092","239,1666",0,"0,0092","0,0098","0,0503","0,0092",2
QALD,LC-QuAD+CogComp+SimpleQuestions,"0,8340","0,8058","0,7937","0,8340","0,3077","1967,7564",0,"0,0238","0,0219","0,0128","0,0238",3
QALD,LC-QuAD+CogComp+WebQuestions,"0,8482","0,8457","0,8874","0,8482","0,3047","363,6968",0,"0,0210","0,0219","0,0329","0,0210",3
QALD,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8312","0,8254","0,8906","0,8312","0,3105","2091,3029",0,"0,0285","0,0270","0,0204","0,0285",4
QALD,LC-QuAD+QALD,"0,8369","0,8110","0,8313","0,8369","0,3067","100,5273",1,"0,0133","0,0175","0,0273","0,0133",2
QALD,LC-QuAD+QALD+CogComp,"0,8624","0,8436","0,8850","0,8624","0,3112","255,3531",1,"0,0129","0,0159","0,0175","0,0129",3
QALD,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8652","0,8452","0,9136","0,8652","0,3109","1984,9350",1,"0,0188","0,0159","0,0098","0,0188",4
QALD,LC-QuAD+QALD+CogComp+WebQuestions,"0,9021","0,9002","0,9328","0,9021","0,3090","379,6834",1,"0,0105","0,0075","0,0060","0,0105",4
QALD,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8879","0,8794","0,9288","0,8879","0,3093","2108,5484",1,"0,0184","0,0224","0,0142","0,0184",5
QALD,LC-QuAD+QALD+SimpleQuestions,"0,8511","0,8402","0,8962","0,8511","0,3087","1829,4490",1,"0,0213","0,0233","0,0289","0,0213",3
QALD,LC-QuAD+QALD+WebQuestions,"0,8809","0,8775","0,8822","0,8809","0,3071","225,0923",1,"0,0092","0,0098","0,0105","0,0092",3
QALD,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8879","0,8849","0,9176","0,8879","0,3101","1951,9333",1,"0,0197","0,0257","0,0235","0,0197",4
QALD,LC-QuAD+SimpleQuestions,"0,7234","0,6751","0,6487","0,7234","0,3093","1810,5677",0,"0,0174","0,0127","0,0116","0,0174",2
QALD,LC-QuAD+WebQuestions,"0,8355","0,8279","0,8348","0,8355","0,3093","208,6178",0,"0,0127","0,0171","0,0171","0,0127",2
QALD,LC-QuAD+WebQuestions+SimpleQuestions,"0,8397","0,8449","0,8869","0,8397","0,3084","1935,8015",0,"0,0259","0,0319","0,0295","0,0259",3
QALD,QALD,"0,4170","0,2772","0,2482","0,4170","0,3108","20,7194",1,"0,1730","0,2183","0,2263","0,1730",1
QALD,QALD+CogComp,"0,8355","0,8196","0,8677","0,8355","0,3066","177,5519",1,"0,0092","0,0095","0,0218","0,0092",2
