Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
SimpleQuestions,LC-QuAD+WebQuestions,"0,7676","0,7698","0,7990","0,7676","71,3854","406,0675",0,"0,0103","0,0094","0,0080","0,0103",2
SimpleQuestions,LC-QuAD+WebQuestions+SimpleQuestions,"0,9110","0,9128","0,9265","0,9110","72,7349","3777,8375",1,"0,0277","0,0255","0,0133","0,0277",3
SimpleQuestions,QALD,"0,3013","0,1399","0,1117","0,3013","71,7603","29,9735",0,"0,0001","0,0007","0,0467","0,0001",1
SimpleQuestions,QALD+CogComp,"0,6511","0,7208","0,8655","0,6511","73,1848","347,6887",0,"0,0368","0,0376","0,0168","0,0368",2
SimpleQuestions,QALD+CogComp+SimpleQuestions,"0,8813","0,8876","0,9158","0,8813","72,7164","3720,4021",1,"0,0502","0,0460","0,0180","0,0502",3
SimpleQuestions,QALD+CogComp+WebQuestions,"0,7710","0,7893","0,8337","0,7710","72,7844","588,5798",0,"0,0226","0,0115","0,0103","0,0226",3
SimpleQuestions,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8660","0,8742","0,9097","0,8660","72,2784","3955,6528",1,"0,0342","0,0291","0,0121","0,0342",4
SimpleQuestions,QALD+SimpleQuestions,"0,8934","0,8924","0,9099","0,8934","72,8916","3416,8867",1,"0,0240","0,0259","0,0163","0,0240",2
SimpleQuestions,QALD+WebQuestions,"0,7679","0,7744","0,8063","0,7679","73,2451","285,5550",0,"0,0241","0,0210","0,0187","0,0241",2
SimpleQuestions,QALD+WebQuestions+SimpleQuestions,"0,8915","0,8973","0,9205","0,8915","72,4134","3669,1960",1,"0,0255","0,0249","0,0127","0,0255",3
SimpleQuestions,SimpleQuestions,"0,7272","0,6890","0,8507","0,7272","71,4617","3369,9567",1,"0,0941","0,1370","0,0444","0,0941",1
SimpleQuestions,WebQuestions,"0,7175","0,7303","0,7721","0,7175","71,5595","254,1094",0,"0,0162","0,0131","0,0122","0,0162",1
SimpleQuestions,WebQuestions+SimpleQuestions,"0,8887","0,8943","0,9182","0,8887","72,7571","3633,5561",1,"0,0225","0,0213","0,0113","0,0225",2
WebQuestions,CogComp,"0,4723","0,5282","0,7296","0,4723","11,1214","313,4577",0,"0,0277","0,0156","0,0292","0,0277",1
WebQuestions,CogComp+SimpleQuestions,"0,4756","0,5210","0,7743","0,4756","11,3308","3692,4226",0,"0,0729","0,0702","0,0236","0,0729",2
WebQuestions,CogComp+WebQuestions,"0,9064","0,9066","0,9136","0,9064","11,3611","558,4678",1,"0,0030","0,0044","0,0084","0,0030",2
WebQuestions,CogComp+WebQuestions+SimpleQuestions,"0,6228","0,6683","0,8694","0,6228","11,1926","3937,8810",1,"0,1127","0,1003","0,0334","0,1127",3
WebQuestions,LC-QuAD,"0,6028","0,5496","0,5508","0,6028","11,1124","164,4754",0,"0,0268","0,0224","0,0436","0,0268",1
WebQuestions,LC-QuAD+CogComp,"0,7113","0,7150","0,7390","0,7113","11,1232","465,1841",0,"0,0154","0,0139","0,0085","0,0154",2
WebQuestions,LC-QuAD+CogComp+SimpleQuestions,"0,7009","0,6841","0,7733","0,7009","11,2968","3841,3149",0,"0,0573","0,0521","0,0180","0,0573",3
WebQuestions,LC-QuAD+CogComp+WebQuestions,"0,9133","0,9133","0,9184","0,9133","11,2393","709,5535",1,"0,0081","0,0092","0,0092","0,0081",3
WebQuestions,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8116","0,8233","0,8853","0,8116","11,2729","4083,1656",1,"0,0219","0,0167","0,0115","0,0219",4
WebQuestions,LC-QuAD+QALD,"0,7106","0,6780","0,7034","0,7106","11,0568","196,7963",0,"0,0185","0,0237","0,0225","0,0185",2
WebQuestions,LC-QuAD+QALD+CogComp,"0,7293","0,7345","0,7599","0,7293","11,2609","498,9568",0,"0,0199","0,0100","0,0103","0,0199",3
WebQuestions,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,7101","0,7065","0,7708","0,7101","11,2423","3878,0799",0,"0,0665","0,0478","0,0090","0,0665",4
WebQuestions,LC-QuAD+QALD+CogComp+WebQuestions,"0,9135","0,9134","0,9173","0,9135","11,1967","744,4419",1,"0,0065","0,0061","0,0053","0,0065",4
WebQuestions,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8280","0,8360","0,8832","0,8280","11,2959","4118,6643",1,"0,0279","0,0277","0,0200","0,0279",5
WebQuestions,LC-QuAD+QALD+SimpleQuestions,"0,6957","0,6815","0,7592","0,6957","11,2836","3572,1835",0,"0,0310","0,0314","0,0316","0,0310",3
WebQuestions,LC-QuAD+QALD+WebQuestions,"0,9086","0,9103","0,9182","0,9086","11,2777","439,1810",1,"0,0056","0,0052","0,0041","0,0056",3
WebQuestions,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8117","0,8126","0,8839","0,8117","11,2516","3820,3177",1,"0,0367","0,0404","0,0127","0,0367",4
WebQuestions,LC-QuAD+SimpleQuestions,"0,6949","0,6503","0,6679","0,6949","11,2872","3529,6902",0,"0,0085","0,0060","0,0043","0,0085",2
WebQuestions,LC-QuAD+WebQuestions,"0,9033","0,9040","0,9115","0,9033","11,0680","406,0675",1,"0,0056","0,0039","0,0018","0,0056",2
WebQuestions,LC-QuAD+WebQuestions+SimpleQuestions,"0,8547","0,8583","0,9017","0,8547","11,2486","3777,8375",1,"0,0289","0,0273","0,0088","0,0289",3
WebQuestions,QALD,"0,2974","0,1366","0,1281","0,2974","11,1635","29,9735",0,"0,0002","0,0006","0,0886","0,0002",1
WebQuestions,QALD+CogComp,"0,5701","0,6229","0,7614","0,5701","11,3092","347,6887",0,"0,0830","0,0712","0,0258","0,0830",2
WebQuestions,QALD+CogComp+SimpleQuestions,"0,7095","0,7161","0,7826","0,7095","11,2541","3720,4021",0,"0,0675","0,0459","0,0221","0,0675",3
WebQuestions,QALD+CogComp+WebQuestions,"0,9169","0,9163","0,9196","0,9169","11,3258","588,5798",1,"0,0103","0,0105","0,0104","0,0103",3
WebQuestions,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8210","0,8398","0,8944","0,8210","11,2581","3955,6528",1,"0,0608","0,0483","0,0168","0,0608",4
WebQuestions,QALD+SimpleQuestions,"0,6719","0,6525","0,7524","0,6719","11,2904","3416,8867",0,"0,0553","0,0539","0,0277","0,0553",2
WebQuestions,QALD+WebQuestions,"0,9172","0,9167","0,9222","0,9172","11,3280","285,5550",1,"0,0082","0,0082","0,0066","0,0082",2
WebQuestions,QALD+WebQuestions+SimpleQuestions,"0,9056","0,9061","0,9132","0,9056","11,2863","3669,1960",1,"0,0060","0,0059","0,0044","0,0060",3
WebQuestions,SimpleQuestions,"0,4773","0,4006","0,5452","0,4773","11,0472","3369,9567",0,"0,0789","0,1130","0,1506","0,0789",1
WebQuestions,WebQuestions,"0,9039","0,9042","0,9120","0,9039","11,0733","254,1094",1,"0,0030","0,0025","0,0037","0,0030",1
WebQuestions,WebQuestions+SimpleQuestions,"0,9068","0,9070","0,9125","0,9068","11,2520","3633,5561",1,"0,0076","0,0083","0,0086","0,0076",2
,,"0,7428","0,7300","0,7685","0,7428","18,6112","2129,6676",,"0,0278","0,0277","0,0256","0,0278",
